Type,Pos,Width,Rotate,Attr
connection,1048.25_146.75,33_16,0,tank2_3|_|gauge2_6|_|M8#8_L25#8_|_|#000000|_|2|_|33#16
connection,1047.25_172.25,32.5_16,0,gauge2_6|_|tank2_3|_|M24.5#8_L8#8_|_|#000000|_|2|_|32.5#16
connection,922.75_222.25,55_82,0,tank3_5|_|valve5_14|_|M8#56_L8#74_L31#74_L31#8_L47#8_|_|#33cccc|_|3|_|55#82
connection,936.75_242.25,32.5_38,0,gauge2_4|_|gauge2_4|_|M10#8_L24.5#8_L24.5#30_L8#30_|_|#000000|_|2|_|32.5#38
connection,1012.25_237.75,32_37,0,gauge2_5|_|gauge2_5|_|M12#29_L24#29_L24#8_L8#8_|_|#000000|_|2|_|32#37
connection,896.25_458.5,31.5_42,0,gauge2_1|_|gauge2_1|_|M23#8_L8#8_L8#34_L23.5#34_|_|#000000|_|2|_|31.5#42
connection,319.83331298828125_556,44.91668701171876_17.528463224085368,0,valve5_32|_|connection_26|_|M33#8_L8#8_|_|#33ff66|_|3|_|41#16
connection,319.75_542,63_16,0,valve5_31|_|connection_26|_|M55#8_L8#8_|_|#33ff66|_|3|_|63#16
connection,396.25_522.5,62.58331298828125_15.524542756782946,0,root|_||_|M56.5#8_L8#8_|_|#33ff66|_|3|_|64.5#16
monitoring,315.26710826131614_534.7702211024223,5.269714516,270,undefined
monitoring,314.3269503980679_558.9325247303931,5.269714516,270,undefined
monitoring,115.82826806949441_324.40037370468565,5.269714516,90,undefined
monitoring,684.4147085849996_22.733347721005515,3.705028543,270,undefined
monitoring,1036.9452548351749_378.26352308707294,3.58428547,90,undefined
monitoring,941.6253310550036_171.5956131791812,3.705028543,270,undefined
connection,922.75_153.25,35_65.5,0,root|_|tank3_5|_|M27#8_L27#57.5_L8#57.5_|_|#33cccc|_|3|_|35#65.5
monitoring,1028.5699683607168_139.7492198623561,4.333027453,0,undefined
monitoring,1012.7823408088087_435.3385303315296,3.58428547,270,undefined
connection,919.75_374,120.5_27,0,valve5_29|_|nozzle_0|_|M8#8_L78#8_L78#19_L112.5#19_|_|#990000|_|3|_|120.5#27
connection,940.75_367,119.49999999999999_51.49999999999999,0,valve1_37|_|connection_202|_|M111.5#8_L8#8_L8#43.5_|_|#33cccc|_|3|_|119.5#51.5
connection,891.25_495.5,39_16,0,valve5_25|_|tank2_4|_|M8#8_L31#8_|_|#33cccc|_|3|_|39#16
monitoring,1046.8767667055092_521.4057083427888,3.58428547,90,undefined
monitoring,885.4730105584737_416.4804628484725,3.58428547,0,undefined
connection,1022.25_449,89_64,0,connection_209|_||_|M81#56_L81#8_L8#8_L23#8_|_|#33cccc|_|3|_|89#64
connection,1044.75_366.5,33.5_145.5,0,connection_208|_||_|M25.5#137.5_L25.5#8_L8#8_|_|#33cccc|_|3|_|33.5#145.5
connection,857.25_374,64.5_16,0,root|_||_|M8#8_L56.5#8_|_|#990000|_|3|_|64.5#16
connection,1036.25_497,57_16,0,bucket_8|_||_|M8#8_L49#8_|_|#33cccc|_|3|_|57#16
connection,1082.25_495.5,38_17,0,valve1_36|_|root|_|M8#9_L30#9_L22.5#9_L22.5#8_|_|#33cccc|_|3|_|38#17
connection,869.25_387.5,28_30,0,valve5_28|_|connection_204|_|M20#8_L8#8_L8#22_|_|#33cccc|_|3|_|28#30
connection,898.25_387.5,29.5_29,0,connection_202|_||_|M21.5#21_L21.5#8_L8#8_|_|#33cccc|_|3|_|29.5#29
connection,976.75_402,53.49999999999999_16,0,bucket_9|_||_|M45.5#8_L8#8_|_|#33cccc|_|3|_|53.5#16
connection,898.25_402,89_16,0,valve1_35|_||_|M81#8_L8#8_|_|#33cccc|_|3|_|89#16
connection,862.25_401.5,39.5_16.5,0,valve5_27|_|root|_|M31.5#8.5_L8#8.5_L16.5#8.5_L16.5#8_|_|#33cccc|_|3|_|39.5#16.5
connection,859.75_419.5,54.5_16,0,root|_||_|M8#8_L46.5#8_|_|#33cccc|_|3|_|54.5#16
connection,910.25_420,118_16,0,valve5_26|_|bucket_9|_|M8#8_L110#8_|_|#33cccc|_|3|_|118#16
connection,973.75_443.5,30_43,0,connection_5|_||_|M22#35_L22#8_L8#8_|_|#33cccc|_|3|_|30#43
connection,874.75_442,115_69,0,valve1_34|_|connection_0|_|M107#8_L8#8_L8#61_|_|#33cccc|_|3|_|115#69
monitoring,1013.0084608034407_496.5766191392191,3.58428547,270,undefined
monitoring,856.4453587496274_492.15948901929215,3.58428547,0,undefined
monitoring,872.6602799320293_492.1474632174531,3.58428547,0,undefined
monitoring,865.1662185515771_506.1582695058089,3.58428547,180,undefined
connection,840.75_495.5,54.5_16,0,root|_||_|M8#8_L46.5#8_|_|#33cccc|_|3|_|54.5#16
connection,924.75_505.5,63.5_42,0,valve1_33|_||_|M55.5#34_L8#34_L8#8_|_|#33cccc|_|3|_|63.5#42
connection,977.75_531.5,60_16,0,bucket_8|_||_|M52#8_L8#8_|_|#33cccc|_|3|_|60#16
connection,923.25_470,61.5_16,0,valve1_32|_|tank2_4|_|M53.5#8_L8#8_|_|#33cccc|_|3|_|61.5#16
connection,971.75_470,58_49.5,0,bucket_8|_|valve1_32|_|M50#41.5_L50#8_L8#8_|_|#33cccc|_|3|_|58#49.5
connection,317.5_354,722_235,0,tank3_1|_||_|M8#165_L8#227_L517#227_L517#8_L714#8_L714#29_|_|#AAA|_|7|_|722#235
nozzle,1026.866497619761_381.366497619761,8.88350238,0,undefined
nozzle,1026.648802936122_463.3645051132178,8.88350238,0,undefined
nozzle,1027.1721888086981_545.114823756662,8.88350238,0,undefined
connection,623.75_352,195.99999999999997_229,0,valve9_10|_|connection_154|_|M8#78_L42.5#78_L42.5#221_L188#221_L188#8_L105#8_|_|#000000|_|2|_|196#229
connection,815.25_-3,17_25.5,0,valve5_9|_|root|_|M9#17.5_L9#8_L9#11.5_L8#11.5_|_|#990000|_|3|_|17#25.5
connection,623.25_404,110.5_169.5,0,valve9_8|_|bucket_7|_|M8#8_L66.5#8_L66.5#161.5_L102.5#161.5_L102.5#143_|_|#000000|_|2|_|110.5#169.5
connection,747.75_351.5,16_30.5,0,valve7_4|_|connection_207|_|M8#22.5_L8#8_|_|#000000|_|2|_|16#30.5
connection,721.75_371.5,41.5_22.5,0,root|_|bucket_5|_|M33.5#8_L33.5#14.5_L8#14.5_|_|#000000|_|2|_|41.5#22.5
connection,759.25_385.5,39_16,0,valve3_3|_|connection_211|_|M8#8_L31#8_|_|#000000|_|2|_|39#16
connection,726.25_385.5,47.5_16,0,valve3_3|_|bucket_5|_|M39.5#8_L8#8_|_|#000000|_|2|_|47.5#16
connection,783.25_352.5,16_32.5,0,valve3_2|_|connection_207|_|M8#24.5_L8#8_|_|#000000|_|2|_|16#32.5
connection,783.25_370.5,16_90,0,valve3_1|_||_|M8#82_L8#8_|_|#000000|_|2|_|16#90
connection,740.75_463,41.5_16,0,valve3_0|_|connection_200|_|M33.5#8_L8#8_|_|#000000|_|2|_|41.5#16
connection,746.75_447.5,52.5_99.5,0,valve1_29|_||_|M8#91.5_L44.5#91.5_L44.5#8_|_|#000000|_|2|_|52.5#99.5
connection,768.25_463,32.5_16,0,valve3_0|_|connection_204|_|M8#8_L24.5#8_|_|#000000|_|2|_|32.5#16
connection,726.75_531.5,33_16,0,bucket_7|_||_|M8#8_L25#8_|_|#000000|_|2|_|33#16
connection,739.25_479,16_45.5,0,valve1_28|_|connection_197|_|M8#8_L8#37.5_|_|#0033cc|_|4|_|16#45.5
